number,name,region,latitude,longitude,company,start,end
A201,"SEE, Milton No 1",A-Basses-Terres (sols consolidés),45.58475,-72.625944,Les Puits du Québec Inc.,1985,1985
A202,"SOQUIP Lemaire et al., Joly No 3",A-Basses-Terres (sols consolidés),46.480556,-71.627278,Underwater Gas Developers Ltd.,1985,1985
A202-R1,"SOQUIP Lemaire et al., Joly No 3",A-Basses-Terres (sols consolidés),46.480556,-71.627278,Foragaz Inc.,1997,1997
A203,"Tioxide, Tracy No 1",A-Basses-Terres (sols consolidés),46.030694,-73.157444,Géohydrotek Inc.,1986,1987
A204,"SNC Soligaz, Montréal-Est No 1",A-Basses-Terres (sols consolidés),45.617194,-73.516861,Succession Forage G. Downing Ltd.,1986,1986
A205,"SNC Soligaz, Montréal-Est No 2",A-Basses-Terres (sols consolidés),45.614333,-73.519,Succession Forage G. Downing Ltd.,1986,1986
A206,"SNC Soligaz, Montréal-Est No 3",A-Basses-Terres (sols consolidés),45.615111,-73.509111,Succession Forage G. Downing Ltd.,1986,1986
A207,"Jaltin Lemaire, Louiseville No 2",A-Basses-Terres (sols consolidés),46.258611,-72.951944,Foragaz Inc.,1988,1988
A208,"SOQUIP Soligaz, Varennes No 1",A-Basses-Terres (sols consolidés),45.701861,-73.425917,Succession Forage G. Downing Ltd.,1988,1988
A209,"SOQUIP Soligaz, Varennes No 2",A-Basses-Terres (sols consolidés),45.704861,-73.431444,Succession Forage G. Downing Ltd.,1988,1988
A210,"SOQUIP Soligaz, Varennes No 3a et 3b",A-Basses-Terres (sols consolidés),45.706639,-73.428194,Succession Forage G. Downing Ltd.,1988,1988
A211,"SOQUIP Soligaz, Varennes No 4",A-Basses-Terres (sols consolidés),45.707722,-73.430111,Succession Forage G. Downing Ltd.,1988,1988
A212,"SOQUIP Soligaz, Varennes No 5",A-Basses-Terres (sols consolidés),45.704222,-73.428389,Succession Forage G. Downing Ltd.,1988,1988
A213,"SOQUIP Soligaz, Varennes No 6",A-Basses-Terres (sols consolidés),45.707722,-73.43025,Succession Forage G. Downing Ltd.,1988,1988
A214,"BVI et al., Saint-Simon No 1",A-Basses-Terres (sols consolidés),45.692583,-72.811611,Nabors Drilling Ltd.,1991,1992
A215,"SOQUIP et al., Saint-Flavien No 8",A-Basses-Terres (sols consolidés),46.505667,-71.582139,Ralex Inc.,1992,1992
A216,"Intermont SOQUIP, Villeroy No 1",A-Basses-Terres (sols consolidés),46.496389,-71.856167,Ralex Inc.,1992,1992
A217,"SNC SOQUIP Soligaz, Varennes No 1",A-Basses-Terres (sols consolidés),45.706056,-73.426667,Succession Forage G. Downing Ltd.,1992,1992
A218,"SNC SOQUIP Soligaz, Varennes No 2",A-Basses-Terres (sols consolidés),45.704861,-73.427556,Succession Forage G. Downing Ltd.,1992,1992
A219,"SNC SOQUIP Soligaz, Varennes No 3",A-Basses-Terres (sols consolidés),45.7055,-73.428167,Succession Forage G. Downing Ltd.,1992,1992
A220,"SNC SOQUIP Soligaz, Varennes No 4",A-Basses-Terres (sols consolidés),45.704,-73.428333,Succession Forage G. Downing Ltd.,1992,1992
A221,"SOQUIP et al., Saint-Flavien No 9",A-Basses-Terres (sols consolidés),46.504333,-71.585139,Ralex Inc.,1993,1993
A222,"BVI et al., Saint-Wenceslas No 1",A-Basses-Terres (sols consolidés),46.181861,-72.320111,Nabors Drilling Ltd.,1993,1993
A223,"Intermont, Bécancour No 1",A-Basses-Terres (sols consolidés),46.370556,-72.399444,Ralex Inc.,1993,1993
A224,"Intermont, Bécancour No 2",A-Basses-Terres (sols consolidés),46.3675,-72.408056,Ralex Inc.,1993,1993
A224-R1,"Intermont, Bécancour No 2",A-Basses-Terres (sols consolidés),46.3675,-72.408056,Foragaz Inc.,1998,1998
A225,"SOQUIP et al., Saint-Flavien No 10",A-Basses-Terres (sols consolidés),46.506,-71.581556,Ralex Inc.,1994,1994
A225-R1,"SOQUIP et al., Saint-Flavien No 10",A-Basses-Terres (sols consolidés),46.506,-71.581556,Ralex Inc.,1995,1995
A226,"SOQUIP et al., Saint-Flavien No 11",A-Basses-Terres (sols consolidés),46.5095,-71.586472,Ralex Inc.,1994,1994
A227,"SOQUIP et al., Saint-Flavien No 12",A-Basses-Terres (sols consolidés),46.506083,-71.580528,Ralex Inc.,1995,1995
A228,"SOQUIP et al., Saint-Flavien No 13",A-Basses-Terres (sols consolidés),46.51225,-71.567861,Ralex Inc.,1995,1996
A229,"Genoil et al., Saint-Léonard No 1",A-Basses-Terres (sols consolidés),46.075778,-72.387194,Ralex Inc.,1996,1997
A230,"Intragaz, Saint-Flavien HZ No 14",A-Basses-Terres (sols consolidés),46.501167,-71.581028,Ralex Inc.,2000,2000
A231,"Junex, Bécancour No 1",A-Basses-Terres (sols consolidés),46.366417,-72.410639,Foragaz Inc.,2000,2001
A232,"Intragaz, Saint-Flavien HZ No 15",A-Basses-Terres (sols consolidés),46.505444,-71.58025,Union Rotary Drillers Ltd.,2002,2002
A233,"Ditem, Huntingdon No 1",A-Basses-Terres (sols consolidés),45.085806,-74.261111,Georges Downing Estate Drilling Ltd.,2002,2002
A234,"Ditem, Dundee No 1",A-Basses-Terres (sols consolidés),45.064333,-74.433889,Georges Downing Estate Drilling Ltd.,2002,2002
A235,"Intragaz, Saint-Flavien HZ No 16",A-Basses-Terres (sols consolidés),46.509472,-71.561806,Nabors Drilling Ltd.,2002,2002
A236,"Junex, Bécancour No 2",A-Basses-Terres (sols consolidés),46.372778,-72.4015,Foragaz Inc.,2002,2002
A237,"Intragaz, Saint-Flavien HZ No 17",A-Basses-Terres (sols consolidés),46.508333,-71.558194,Nabors Drilling Ltd.,2002,2003
A238,"Junex, Batiscan No 1",A-Basses-Terres (sols consolidés),46.483694,-72.278806,Foragaz Inc.,2003,2003
A239,"Junex, Bécancour No 3",A-Basses-Terres (sols consolidés),46.382,-72.409444,Foragaz Inc.,2003,2003
A240,"Intragaz, Saint-Flavien HZ No 18",A-Basses-Terres (sols consolidés),46.508778,-71.553667,Nabors Drilling Ltd.,2003,2003
A241,"Junex, Bécancour No 4",A-Basses-Terres (sols consolidés),46.377361,-72.415222,Foragaz Inc.,2003,2003
A242,"Junex, Bécancour No 5",A-Basses-Terres (sols consolidés),46.388083,-72.392583,Foragaz Inc.,2003,2003
A243,"Intragaz, Saint-Flavien HZ No 19",A-Basses-Terres (sols consolidés),46.505361,-71.574139,Nabors Drilling Ltd.,2004,2004
A245,"Gastem, Dundee No 1",A-Basses-Terres (sols consolidés),45.067528,-74.437806,Georges Downing Estate Drilling Ltd.,2004,2004
A246,"Junex, Bécancour No 6",A-Basses-Terres (sols consolidés),46.391222,-72.385,Foragaz Inc.,2004,2004
A246-R1,"Junex, Bécancour No 6",A-Basses-Terres (sols consolidés),46.391222,-72.385,Foragaz Inc.,2008,2008
A247,"Junex, Bécancour No 7",A-Basses-Terres (sols consolidés),46.35525,-72.425917,Foragaz Inc.,2004,2005
A248,"Talisman Energy, Saint-François-du-Lac No 1",A-Basses-Terres (sols consolidés),46.091444,-72.881694,Doubil Inc.,2006,2006
A250,"Junex, Bécancour No 8",A-Basses-Terres (sols consolidés),46.362139,-72.427639,Foragaz Inc.,2006,2006
A251,"Junex, Champlain No 1",A-Basses-Terres (sols consolidés),46.415083,-72.401333,Foragaz Inc.,2006,2006
A251-R1,"Junex, Champlain No 1",A-Basses-Terres (sols consolidés),46.415083,-72.401333,Foragaz Inc.,2007,2007
A252,"Talisman Energy, Gentilly No 1",A-Basses-Terres (sols consolidés),46.394694,-72.179139,Precision Drilling Corp.,2006,2006
A253,"Gastem et al., Saint-François-du-Lac No 1",A-Basses-Terres (sols consolidés),46.041194,-72.784333,Precision Drilling Corp.,2007,2007
A254,"Gastem, Saint-Louis-de-Richelieu HZ No 1",A-Basses-Terres (sols consolidés),45.852028,-72.972778,Precision Drilling Corp.,2007,2007
A254-R1,"Gastem, Saint-Louis-de-Richelieu HZ No 1",A-Basses-Terres (sols consolidés),45.852028,-72.972778,Nabors Drilling Ltd.,2008,2008
A255,"Junex, Champlain No 2",A-Basses-Terres (sols consolidés),46.427,-72.425944,Foragaz Inc.,2007,2007
A256,"Gastem Intragaz, Joly No 4",A-Basses-Terres (sols consolidés),46.453444,-71.675139,Nabors Drilling Ltd.,2007,2008
A257,"Junex, Saint-Augustin-de-Desmaures No 1",A-Basses-Terres (sols consolidés),46.756889,-71.46575,Foragaz Inc.,2008,2008
A258,"Junex, Saint-Antoine-sur-Richelieu No 1",A-Basses-Terres (sols consolidés),45.777528,-73.22075,Foragaz Inc.,2008,2008
A259,"Talisman Energy, Saint-David No 1",A-Basses-Terres (sols consolidés),45.951417,-72.841972,Horizon Drilling Inc.,2008,2009
A260,"Canadian Forest Oil, Saint-François-du-Lac HZ No 1",A-Basses-Terres (sols consolidés),46.035,-72.784167,Nabors Drilling Ltd.,2008,2008
A261,"Talisman Energy, La Visitation No 1",A-Basses-Terres (sols consolidés),46.096083,-72.540694,Horizon Drilling Inc.,2008,2008
A262,"Junex, Bécancour No 9",A-Basses-Terres (sols consolidés),46.335,-72.397861,Foragaz Inc.,2008,2008
A263,"Questerre et al., Saint-Jean-sur-Richelieu No 1",A-Basses-Terres (sols consolidés),45.370972,-73.338639,SDS Consulting Corporation,2008,2008
A265,"Canadian Forest Oil, Champlain HZ No 1",A-Basses-Terres (sols consolidés),46.415944,-72.4025,Nabors Drilling Ltd.,2008,2008
A266,"Talisman Energy, Leclercville No 1",A-Basses-Terres (sols consolidés),46.504083,-71.866944,Horizon Drilling Inc.,2009,2009
A267,"Talisman Energy, Saint-Édouard No 1",A-Basses-Terres (sols consolidés),46.5265,-71.777889,Horizon Drilling Inc.,2009,2009
A269,"Junex, Saint-Grégoire No 2",A-Basses-Terres (sols consolidés),46.255889,-72.533333,Foragaz Inc.,2009,2009
A270,"Junex, Saint-Grégoire No 3",A-Basses-Terres (sols consolidés),46.291139,-72.554222,Foragaz Inc.,2009,2009
A271,"Canbriam, Farnham No 1",A-Basses-Terres (sols consolidés),45.272417,-73.006,Horizon Drilling Inc.,2009,2009
A273,"Canbriam, Saint-Hyacinthe No 1",A-Basses-Terres (sols consolidés),45.6965,-72.985278,Nabors Drilling Ltd,2009,2009
A274,"Canbriam, La Présentation No 1",A-Basses-Terres (sols consolidés),45.728472,-73.033333,Nabors Drilling,2009,2009
A275,"Talisman Energy, Saint-Édouard HZ No 1a",A-Basses-Terres (sols consolidés),46.526167,-71.777722,Akita Drilling Ltd,2009,2009
A276,"Talisman Energy, Leclercville HZ No 1a",A-Basses-Terres (sols consolidés),46.50425,-71.866944,Akita Drilling Ltd,2010,2010
A277,"Talisman Energy, Gentilly HZ No 2",A-Basses-Terres (sols consolidés),46.38925,-72.175889,Akita Drilling Ltd,2009,2010
A278,"Junex, Wotton No 1",A-Basses-Terres (sols consolidés),45.739083,-71.801111,Foragaz Inc.,2009,2010
A279,"Talisman Energy, Fortierville HZ No 1",A-Basses-Terres (sols consolidés),46.482278,-71.998667,Talisman Energy Inc.,2010,2010
A280,"Junex, Villeroy No 1",A-Basses-Terres (sols consolidés),46.358417,-71.836472,Foragaz Inc.,2010,2010
A281,"Canbriam Energy, La Présentation HZ No 1a",A-Basses-Terres (sols consolidés),45.728611,-73.033333,Nabors Drilling Ltd.,2010,2010
A282,"Canbriam Energy, Saint-Barnabé-Sud HZ No 1",A-Basses-Terres (sols consolidés),45.759806,-72.92575,Nabors Drilling Ltd.,2010,2010
A283,"Talisman Energy, Sainte-Gertrude HZ No 1",A-Basses-Terres (sols consolidés),46.326694,-72.299194,Talisman Energy Inc.,2010,2010
A284,"Canbriam Energy, Saint-Hyacinthe HZ No 1a",A-Basses-Terres (sols consolidés),45.69675,-72.985,Nabors Drilling Ltd.,2010,2010
A286,"Canadian Forest Oil, Saint-Denis-sur-Richelieu No. 1",A-Basses-Terres (sols consolidés),45.704972,-73.118889,Akita Drilling Ltd,2010,2010
A287,"Gastem, Saint-Janvier-de-Joly No. 5",A-Basses-Terres (sols consolidés),46.489556,-71.639278,Akita Drilling Ltd,n.d.,n.d.
AZ01,Saint-Viateur No 1,A-Basses-Terres (sols consolidés),46.150028,-73.16625,Azarious Rioux,1931,1931
AZ02,Associated Quality Canners No 1,A-Basses-Terres (sols consolidés),45.550028,-73.76625,"",n.d.,n.d.
AZ03,Ayers Well No 1,A-Basses-Terres (sols consolidés),45.666722,-74.299611,"",n.d.,n.d.
AZ04,Bécancour No 11,A-Basses-Terres (sols consolidés),46.250028,-72.446778,Antonio Dubé,1956,1956
AZ05,Bécancour No 12,A-Basses-Terres (sols consolidés),46.300028,-72.532889,Antonio Dubé,1956,1956
AZ06,Bécancour No 13,A-Basses-Terres (sols consolidés),46.223639,-72.446778,Antonio Dubé,1956,1956
AZ07,Bécancour No 4,A-Basses-Terres (sols consolidés),46.265306,-72.4565,Antonio Dubé,n.d.,n.d.
AZ08,Beloeil,A-Basses-Terres (sols consolidés),45.566694,-73.199583,William Bell,1905,1905
AZ09,Bolta Plastic Well,A-Basses-Terres (sols consolidés),45.400028,-72.766222,"",n.d.,n.d.
AZ10,Imperial Lowlands Boucherville No 1,A-Basses-Terres (sols consolidés),45.588917,-73.360694,"",1956,1956
AZ11,Canadian Celanese No 1,A-Basses-Terres (sols consolidés),45.833361,-72.532889,"",n.d.,n.d.
AZ12,Canadian Celanese No 2,A-Basses-Terres (sols consolidés),45.833361,-72.532889,"",n.d.,n.d.
AZ13,Cap Rouge Sainte-Foy Tuberculosis Hospital,A-Basses-Terres (sols consolidés),46.766694,-71.282861,"",1922,1922
AZ14,Gauge Hole No 2 Saint-Scholastique,A-Basses-Terres (sols consolidés),45.651694,-74.012944,"",1970,1970
AZ15,Gauge Hole 3B/70 Saint-Scholastique,A-Basses-Terres (sols consolidés),45.650028,-74.082944,"",n.d.,n.d.
AZ16,Glenview Aylmer No 13,A-Basses-Terres (sols consolidés),45.400056,-75.816333,"",1959,1959
AZ17,Guaranteed Pure Milk Co. Well,A-Basses-Terres (sols consolidés),45.491972,-73.564583,"",1930,1930
AZ18,Hematite No 1,A-Basses-Terres (sols consolidés),45.98225,-72.155111,"",1944,1944
AZ19,Hematite No 2,A-Basses-Terres (sols consolidés),45.984472,-72.1365,"",1944,1944
AZ20,Hotel Dieu Montréal,A-Basses-Terres (sols consolidés),45.513639,-73.576806,"",n.d.,n.d.
AZ21,Hull Foundry Well,A-Basses-Terres (sols consolidés),45.433361,-75.730222,"",n.d.,n.d.
AZ22,Huttes militaires de Longueuil No 321,A-Basses-Terres (sols consolidés),45.543917,-73.500139,"",n.d.,n.d.
AZ23,Imperial Lowlands Yamaska No 4 (Y-4),A-Basses-Terres (sols consolidés),46.009472,-72.977889,Ranch Drilling Ltd,1956,1956
AZ24,Montreal Cotton Valleyfield No 1,A-Basses-Terres (sols consolidés),45.258389,-74.066278,"",n.d.,n.d.
AZ25,Montreal Cotton Valleyfield No 3,A-Basses-Terres (sols consolidés),45.258389,-74.066278,"",n.d.,n.d.
AZ26,Montreal Cotton Valleyfield No 4,A-Basses-Terres (sols consolidés),45.258389,-74.066278,"",n.d.,n.d.
AZ27,Old Scott Place No 1,A-Basses-Terres (sols consolidés),45.450028,-75.788556,"",n.d.,n.d.
AZ28,Ottawa Country Club,A-Basses-Terres (sols consolidés),45.416694,-75.766333,William Bell,1908,1908
AZ29,Imperial Lowlands Yamaska No 3 (Y-3),A-Basses-Terres (sols consolidés),46.043917,-72.786222,Ranch Drilling Ltd,1956,1956
AZ30,Porter Water Well,A-Basses-Terres (sols consolidés),45.400028,-75.799667,"",1939,1939
AZ31,Québec City Terminal Station Well,A-Basses-Terres (sols consolidés),46.795306,-71.328694,William Bell,1922,1922
AZ32,Royal Montreal Golf Course,A-Basses-Terres (sols consolidés),45.495861,-73.905139,"",n.d.,n.d.
AZ33,Ryan Kingsmere Well,A-Basses-Terres (sols consolidés),45.500028,-75.833,F.A. McLean,1939,1939
AZ34,Saint-Élie-de-Caxton No 1,A-Basses-Terres (sols consolidés),46.491694,-72.96625,Edmond Côté,1939,1939
AZ35,Saint-Georges No 1,A-Basses-Terres (sols consolidés),46.133361,-70.666194,J.E. Bélanger,1942,1944
AZ36,Test Well ID/70 Saint-Scholastique,A-Basses-Terres (sols consolidés),45.651417,-74.092667,"",1970,1970
AZ37,Usine Pilote C.I. Saint-Malo Ascenseur No 1,A-Basses-Terres (sols consolidés),46.802806,-71.255083,"",n.d.,n.d.
AZ38,Usine Pilote C.I. Saint-Malo Ascenseur No 2,A-Basses-Terres (sols consolidés),46.802806,-71.255083,"",n.d.,n.d.
AZ39,Old Scott Place No 2,A-Basses-Terres (sols consolidés),45.450028,-75.788556,"",n.d.,n.d.
AZ40,Imperial Lowlands Yamaska No 6 (Y-6),A-Basses-Terres (sols consolidés),46.020861,-72.970139,Trennd Enterprises,1957,1957
AZ41,Imperial Lowlands Yamaska No 2 (Y-2),A-Basses-Terres (sols consolidés),46.033361,-72.832889,Ranch Drilling Ltd,1956,1956
AZ42,Farnham Militia Camp No 1,A-Basses-Terres (sols consolidés),45.280583,-72.974583,"",n.d.,n.d.
AZ43,Farnham Militia Camp No 2,A-Basses-Terres (sols consolidés),45.280583,-72.974583,"",n.d.,n.d.
AZ44,Chartrand M. Well,A-Basses-Terres (sols consolidés),45.676417,-74.407944,A. Arbuchle,1931,1931
AZ45,Dufresne Engineering No 1 Well,A-Basses-Terres (sols consolidés),45.308361,-73.899583,"",n.d.,n.d.
AZ46,Turkish Bath Well,A-Basses-Terres (sols consolidés),45.500028,-73.56625,William Bell,1898,1898
AZ47,Aumacho Oka No 1 Saint-Michel de Vaudreuil,A-Basses-Terres (sols consolidés),45.438361,-74.127111,"",1955,1956
AZ48,Aumacho Oka No 2 Saint-Michel de Vaudreuil,A-Basses-Terres (sols consolidés),45.444472,-74.137667,"",1956,1956
AZ49,Imperial Shallow Test Hole N-1,A-Basses-Terres (sols consolidés),46.433361,-72.166222,Trennd Enterprises,1957,1957
AZ50,Imperial Shallow Test Hole N-2,A-Basses-Terres (sols consolidés),46.430583,-72.160667,Trennd Enterprises,1957,1957
AZ51,Euchariste Coutu No 1,A-Basses-Terres (sols consolidés),46.049472,-73.283194,Sprague and Henwood Ltd.,1933,1933
AZ52,Imperial Lowlands Yamaska No 5 (Y-5),A-Basses-Terres (sols consolidés),45.963917,-72.896806,Trennd Enterprises,1957,1957
AZ53,Brilund Oka No 8,A-Basses-Terres (sols consolidés),45.596556,-74.015917,"",1955,1955
AZ54,Convert Pointe-aux-Trembles,A-Basses-Terres (sols consolidés),46.716694,-71.582861,"",1909,1909
AZ55,Neuville,A-Basses-Terres (sols consolidés),46.695861,-71.600917,"",1970,1970
AZ56,Cooks Road Hole No 1,A-Basses-Terres (sols consolidés),45.454194,-75.849667,"",n.d.,n.d.
AZ57,Coopérative Granby Québec,A-Basses-Terres (sols consolidés),45.405583,-72.737083,"",n.d.,n.d.
AZ58,Duke Street Theatre,A-Basses-Terres (sols consolidés),45.427806,-75.721889,"",1936,1936
AZ59,E.B. Eddy New Well,A-Basses-Terres (sols consolidés),45.423639,-75.716333,F.A. McLean,1941,1941
AZ60,Baril No 4,A-Basses-Terres (sols consolidés),45.855861,-73.403778,"",1943,1943
AZ61,Gatineau Club,A-Basses-Terres (sols consolidés),45.404194,-75.791333,"",n.d.,n.d.
AZ62,Frères de l'Instruction Chrétienne No 1,A-Basses-Terres (sols consolidés),46.291694,-72.694,Léo Garneau,1958,1959
AZ63,Frères de l'Instruction Chrétienne No 2,A-Basses-Terres (sols consolidés),46.287528,-72.689833,Léo Garneau,1960,1960
AZ64,Bécancour No 58,A-Basses-Terres (sols consolidés),46.29725,-72.394,"",n.d.,n.d.
AZ65,"Les Puits du Québec, Neuville No 1",A-Basses-Terres (sols consolidés),46.701861,-71.602583,"",1986,1986
AZ66,"Les Puits du Québec, Neuville No 2",A-Basses-Terres (sols consolidés),46.702,-71.602583,"",1986,1986
AZ67,Bettez No 1,A-Basses-Terres (sols consolidés),46.335278,-72.588333,"",1910,1910
AZ68,Saint-Louis-de-Blandford No 1,A-Basses-Terres (sols consolidés),46.253361,-72.002056,Les Forages Kennebec Ltée,1977,1977
AZ69,Saint-Louis-de-Blandford No 2,A-Basses-Terres (sols consolidés),46.269194,-72.022611,Les Forages Kennebec Ltée,1997,1997
B001,Auger No 1,B-Basses-Terres (sols non consolidés),46.292639,-72.707167,Joseph Auger,1948,1955
B001A,Auger No 2,B-Basses-Terres (sols non consolidés),46.292889,-72.706917,"",1956,1956
B001B,Pères de la Fraternité Sacerdotale No 1,B-Basses-Terres (sols non consolidés),46.291917,-72.699222,"",1958,1959
B001C,Pères de la Fraternité Sacerdotale No 2,B-Basses-Terres (sols non consolidés),46.291917,-72.699222,"",1960,1960
B002,"Bald Mountain New-Miller No 1, Berthierville",B-Basses-Terres (sols non consolidés),46.096417,-73.162083,Big Indian Drilling Co.,1961,1961
B003,"Bald Mountain Intercity No 1, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.287556,-72.698944,Big Indian Drilling Co.,1961,1961
B004,"Bald Mountain Intercity No 2, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.289028,-72.703611,Big Indian Drilling Co.,1961,1961
B005,"Bald Mountain Intercity No 3, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.289667,-72.706778,Big Indian Drilling Co.,1961,1961
B006,"Bald Mountain Intercity No 4, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.291139,-72.710222,Big Indian Drilling Co.,1961,1961
B007,"Bald Mountain Intercity No 5, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.291139,-72.714611,Big Indian Drilling Co.,1961,1961
B008,"Bald Mountain Intercity No 6, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.288167,-72.706972,Big Indian Drilling Co.,1961,1961
B009,"Bald Mountain Intercity New Ass. No 7, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.289361,-72.710139,Big Indian Drilling Co.,1961,1961
B010,"Bald Mountain Intercity New Ass. No 8, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.288167,-72.705861,Big Indian Drilling Co.,1962,1962
B011,"Bald Mountain Intercity New Ass. No 9, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.286528,-72.708278,Big Indian Drilling Co.,1962,1962
B012,"Bald Mountain Intercity New Ass. No 10, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.284917,-72.709583,Big Indian Drilling Co.,1962,1962
B013,"Bald Mountain Intercity New Ass. No 11, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.287722,-72.712028,Big Indian Drilling Co.,1962,1962
B014,"Bald Mountain Intercity New Ass. No 12, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.286639,-72.713528,Big Indian Drilling Co.,1962,1962
B015,"Bald Mountain Intercity New Ass. No 15, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.285556,-72.715694,Big Indian Drilling Co.,1962,1962
B016,"Bald Mountain Intercity New-Ass. No 16, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.284194,-72.718028,Big Indian Drilling Co.,1963,1963
B017,"New-Ass. Bald Mountain Intercity No 17, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.283083,-72.720028,Big Indian Drilling Co.,1963,1963
B018,"New-Ass. Bald Mountain Intercity No 20, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.287611,-72.716,Big Indian Drilling Co.,1963,1963
B019,"New-Ass. Bald Mountain Intercity No 21, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.285,-72.713306,Big Indian Drilling Co.,1963,1963
B020,"Bald Mountain Intercity No 1, Sainte-Anne",B-Basses-Terres (sols non consolidés),46.286667,-72.743611,Antonio Dubé,1961,1961
B021,"Bald Mountain Intercity No 2, Sainte-Anne",B-Basses-Terres (sols non consolidés),46.290583,-72.747056,Antonio Dubé,1961,1961
B022,"Bald Mountain, La Pérade No 1",B-Basses-Terres (sols non consolidés),46.601972,-72.204278,Antonio Dubé,1957,1957
B023,"Bald Mountain, La Pérade No 2a",B-Basses-Terres (sols non consolidés),46.608083,-72.207889,Antonio Dubé,1957,1957
B024,"Bald Mountain No 1, Sorel",B-Basses-Terres (sols non consolidés),46.047528,-73.11125,Big Indian Drilling Co.,1961,1961
B025,"Bald Mountain New-Miller No 2, Sorel",B-Basses-Terres (sols non consolidés),46.047806,-73.104583,Big Indian Drilling Co.,1961,1961
B026,"Bald Mountain New-Miller No 3, Sorel",B-Basses-Terres (sols non consolidés),46.049194,-73.095417,Big Indian Drilling Co.,1961,1961
B027,"Bald Mountain New-Miller No 4, Sorel",B-Basses-Terres (sols non consolidés),46.045306,-73.100139,Big Indian Drilling Co.,1961,1961
B028,Bald Mountain Saint-Casimir No 1,B-Basses-Terres (sols non consolidés),46.657806,-72.187889,Antonio Dubé,1957,1957
B029,"Bald Mountain New-Miller No 1, Saint-Ignace",B-Basses-Terres (sols non consolidés),46.066139,-73.114583,Big Indian Drilling Co.,1961,1961
B030,Cabane Ronde,B-Basses-Terres (sols non consolidés),45.790306,-73.538472,"",1883,1883
B031,"Canso Saint-Maurice, Louiseville No 1",B-Basses-Terres (sols non consolidés),46.251972,-72.970389,Carroll Drilling Co. Ltd.,1957,1957
B032,"Caprive No 1, Trois-Rivières",B-Basses-Terres (sols non consolidés),46.358361,-72.579833,Albert Bédard,1959,1959
B033,"Laduboro Verchères Saint-Pierre No 1, Pointe-du-lac",B-Basses-Terres (sols non consolidés),46.292194,-72.705583,James Drilling Ltd(1961); Foragaz(1992),1961,1961
B034,"Laduboro Verchères Saint-Pierre No 2, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.294417,-72.7075,James Drilling Ltd,1961,1961
B035,"Laduboro Verchères Saint-Pierre No 3, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.290833,-72.69925,James Drilling Ltd,1961,1961
B036,"Laduboro Verchères Saint-Pierre No 4, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.290444,-72.701361,James Drilling Ltd(1961); Foragaz(1990),1961,1961
B037,"Laduboro Verchères Saint-Pierre No 5, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.290389,-72.701361,James Drilling Ltd(1961); Foragaz(1992),1961,1961
B038,"Laduboro Verchères Saint-Pierre No 6, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.295056,-72.701278,James Drilling Ltd,1961,1961
B039,"Laduboro Verchères Saint-Pierre No 7, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.301167,-72.703389,James Drilling Ltd(1961); Foragaz(1992),1961,1961
B040,"Laduboro Verchères Saint-Pierre No 8, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.303917,-72.726889,James Drilling Ltd,1961,1961
B041,"Laduboro Verchères Saint-Pierre No 8a, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.303778,-72.726778,James Drilling Ltd,1961,1961
B042,"Laduboro Verchères Saint-Pierre No 9, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.303778,-72.690917,James Drilling Ltd,1961,1961
B043,"Laduboro Verchères Saint-Pierre No 9a, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.304,-72.691306,James Drilling Ltd,1961,1961
B044,"Laduboro Verchères Saint-Pierre No 10, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.295278,-72.722417,James Drilling Ltd,1961,1961
B045,"Laduboro Verchères Saint-Pierre No 11, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.296806,-72.735861,James Drilling Ltd,1961,1961
B046,"Laduboro Verchères Saint-Pierre No 11a, Pointe-du-Lac",B-Basses-Terres (sols non consolidés),46.296694,-72.735722,James Drilling Ltd,1961,1961
